"Species","AG","AP","BC","BP","EH","FH","GE","GL","MB","NE","NS","SH","SP","TB","TF","TL","TP","WP","ZP","Total"
"Acmaeodera pulchella",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
"Actenodes acornis",0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,9
"Actenodes simi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
"Agrilus anxius",0,0,1,4,0,0,0,0,3,1,0,0,1,2,4,2,7,2,0,27
"Agrilus arcuatus",0,3,6,4,11,2,0,18,2,5,0,0,0,5,5,2,31,0,0,94
"Agrilus bilineatus",2,2,0,8,6,0,0,20,5,3,2,1,8,6,2,0,11,3,0,79
"Agrilus carpini",0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,1,0,0,10
"Agrilus celti",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Agrilus cliftoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Agrilus difficilis",0,2,19,1,0,0,3,8,0,0,1,0,0,0,0,1,1,0,0,36
"Agrilus egeniformis",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Agrilus egenus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Agrilus granulatus",0,20,1,22,0,12,0,21,3,9,1,2,5,11,4,10,18,10,0,149
"Agrilus juglandis",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"Agrilus lecontei",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4
"Agrilus obsoletoguttatus",0,0,0,3,1,2,0,3,2,0,0,0,6,2,6,0,7,0,0,32
"Agrilus pensus",0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,8,1,0,0,13
"Agrilus planipennis",16,4,11,0,4,0,46,4,0,0,0,0,0,0,0,1,0,1,64,151
"Agrilus politus",1,9,0,5,2,0,0,6,2,1,0,0,10,0,0,14,6,1,0,57
"Agrilus quadriguttatus",0,0,0,8,0,0,0,1,5,0,1,9,0,0,1,4,1,1,0,31
"Agrilus vittaticollis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Brachys ovatus",0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,1,0,0,8
"Buprestis consularis",0,0,4,9,0,0,0,0,10,2,1,0,2,1,16,3,3,4,0,55
"Buprestis maculativentris",0,0,0,3,0,0,0,0,7,3,0,1,1,0,2,2,8,0,0,27
"Buprestis striata",0,0,1,1,0,0,0,0,5,21,3,0,0,0,7,0,1,4,0,43
"Chrysobothris adelpha",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"Chrysobothris azurea",0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"Chrysobothris cribraria",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
"Chrysobothris dentipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Chrysobothris femorata",1,0,2,3,6,0,0,0,2,0,1,0,0,4,5,0,7,2,0,33
"Chrysobothris orono",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Chrysobothris neopusilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Chrysobothris pusilla",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Chrysobothris rotundicollis",0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,0,2,0,9
"Chrysobothris rugosiceps",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"Chrysobothris sexsignata",23,0,6,2,3,0,0,0,7,3,3,1,1,1,16,3,6,2,1,78
"Chrysobothris viridiceps",0,0,3,0,10,2,0,4,6,0,1,1,3,1,5,1,3,5,0,45
"Dicerca asperata",0,0,0,0,0,0,0,0,3,0,0,0,1,0,12,0,2,0,0,18
"Dicerca callosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dicerca caudata",0,0,8,11,2,0,0,1,28,19,5,5,16,20,8,3,112,16,1,255
"Dicerca divarcata",0,0,0,3,2,0,0,1,30,18,29,4,1,2,62,2,51,8,0,213
"Dicerca lugubris",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Dicerca lurida",0,0,0,0,0,1,0,0,6,0,1,0,0,0,25,0,0,2,0,35
"Dicerca tenebrica",0,1,9,26,1,0,0,2,13,34,2,0,0,19,17,1,7,6,0,138
"Dicerca tenebrosa",0,1,4,1,0,0,0,0,9,10,4,0,0,0,1,2,2,0,0,34
"Eupristocerus cogitans",0,0,0,5,0,0,0,0,6,1,0,0,1,0,0,16,16,0,0,45
"Phaenops aeneola",0,0,0,0,0,0,0,0,3,2,2,0,0,0,2,0,0,0,0,9
"Poecilonota cyanipes",0,2,2,11,0,0,0,5,4,4,1,0,1,2,1,5,20,3,0,61
"Poecilonota ferrea",0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,1,1,0,15
"Poecilonota thureura",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Spectralia gracilipes",1,0,1,0,4,1,0,2,3,0,0,0,0,3,0,0,0,6,0,21
"Total",44,47,82,133,56,22,52,98,174,156,61,30,59,80,217,80,327,87,66,1871
